Branch code,Branch name,Categorization of customers,Mobile Banking,Status,Number of customers
NP0010001,Individual Female,Mobile Banking,Head Office,ACTIVE,64
NP0010001,Individual Female,Mobile Banking,Head Office,INACTIVE,8
NP0010001,Individual Male,Mobile Banking,Head Office,ACTIVE,253
NP0010001,Individual Male,Mobile Banking,Head Office,INACTIVE,24
NP0010001,Individual Other,Mobile Banking,Head Office,ACTIVE,6
NP0010001,Individual Other,Mobile Banking,Head Office,INACTIVE,3
NP0010001,Individual Other,Mobile Banking,Head Office,ACTIVE,117
NP0010001,Individual Other,Mobile Banking,Head Office,INACTIVE,118
NP0010002,Individual Female,Mobile Banking,Corporate,ACTIVE,771
NP0010002,Individual Female,Mobile Banking,Corporate,INACTIVE,159
NP0010002,Individual Male,Mobile Banking,Corporate,ACTIVE,1412
NP0010002,Individual Male,Mobile Banking,Corporate,INACTIVE,293
NP0010002,Individual Other,Mobile Banking,Corporate,ACTIVE,474
NP0010002,Individual Other,Mobile Banking,Corporate,INACTIVE,56
NP0010002,Individual Other,Mobile Banking,Corporate,ACTIVE,224
NP0010002,Individual Other,Mobile Banking,Corporate,INACTIVE,294
NP0010004,Individual Female,Mobile Banking,BR Dhulabari,ACTIVE,215
NP0010004,Individual Female,Mobile Banking,BR Dhulabari,INACTIVE,38
NP0010004,Individual Male,Mobile Banking,BR Dhulabari,ACTIVE,403
NP0010004,Individual Male,Mobile Banking,BR Dhulabari,INACTIVE,89
NP0010004,Individual Other,Mobile Banking,BR Dhulabari,ACTIVE,241
NP0010004,Individual Other,Mobile Banking,BR Dhulabari,INACTIVE,67
NP0010004,Individual Other,Mobile Banking,BR Dhulabari,ACTIVE,229
NP0010004,Individual Other,Mobile Banking,BR Dhulabari,INACTIVE,631
NP0010005,Individual Female,Mobile Banking,BR Bhadrapur,ACTIVE,188
NP0010005,Individual Female,Mobile Banking,BR Bhadrapur,INACTIVE,61
NP0010005,Individual Male,Mobile Banking,BR Bhadrapur,ACTIVE,366
NP0010005,Individual Male,Mobile Banking,BR Bhadrapur,INACTIVE,90
NP0010005,Individual Other,Mobile Banking,BR Bhadrapur,ACTIVE,264
NP0010005,Individual Other,Mobile Banking,BR Bhadrapur,INACTIVE,146
NP0010005,Individual Other,Mobile Banking,BR Bhadrapur,ACTIVE,404
NP0010005,Individual Other,Mobile Banking,BR Bhadrapur,INACTIVE,778
NP0010006,Individual Female,Mobile Banking,BR Birtamod,ACTIVE,353
NP0010006,Individual Female,Mobile Banking,BR Birtamod,INACTIVE,74
NP0010006,Individual Male,Mobile Banking,BR Birtamod,ACTIVE,573
NP0010006,Individual Male,Mobile Banking,BR Birtamod,INACTIVE,138
NP0010006,Individual Other,Mobile Banking,BR Birtamod,ACTIVE,362
NP0010006,Individual Other,Mobile Banking,BR Birtamod,INACTIVE,96
NP0010006,Individual Other,Mobile Banking,BR Birtamod,ACTIVE,402
NP0010006,Individual Other,Mobile Banking,BR Birtamod,INACTIVE,1060
NP0010007,Individual Female,Mobile Banking,BR  Surunga,ACTIVE,311
NP0010007,Individual Female,Mobile Banking,BR  Surunga,INACTIVE,81
NP0010007,Individual Male,Mobile Banking,BR  Surunga,ACTIVE,423
NP0010007,Individual Male,Mobile Banking,BR  Surunga,INACTIVE,164
NP0010007,Individual Other,Mobile Banking,BR  Surunga,ACTIVE,128
NP0010007,Individual Other,Mobile Banking,BR  Surunga,INACTIVE,37
NP0010007,Individual Other,Mobile Banking,BR  Surunga,ACTIVE,159
NP0010007,Individual Other,Mobile Banking,BR  Surunga,INACTIVE,535
NP0010008,Individual Female,Mobile Banking,BR Damak,ACTIVE,454
NP0010008,Individual Female,Mobile Banking,BR Damak,INACTIVE,87
NP0010008,Individual Male,Mobile Banking,BR Damak,ACTIVE,598
NP0010008,Individual Male,Mobile Banking,BR Damak,INACTIVE,206
NP0010008,Individual Other,Mobile Banking,BR Damak,ACTIVE,362
NP0010008,Individual Other,Mobile Banking,BR Damak,INACTIVE,109
NP0010008,Individual Other,Mobile Banking,BR Damak,ACTIVE,312
NP0010008,Individual Other,Mobile Banking,BR Damak,INACTIVE,817
NP0010009,Individual Female,Mobile Banking,BR Ilam,ACTIVE,124
NP0010009,Individual Female,Mobile Banking,BR Ilam,INACTIVE,35
NP0010009,Individual Male,Mobile Banking,BR Ilam,ACTIVE,236
NP0010009,Individual Male,Mobile Banking,BR Ilam,INACTIVE,73
NP0010009,Individual Other,Mobile Banking,BR Ilam,ACTIVE,279
NP0010009,Individual Other,Mobile Banking,BR Ilam,INACTIVE,158
NP0010009,Individual Other,Mobile Banking,BR Ilam,ACTIVE,236
NP0010009,Individual Other,Mobile Banking,BR Ilam,INACTIVE,697
NP0010010,Individual Female,Mobile Banking,BR Phikkal,ACTIVE,345
NP0010010,Individual Female,Mobile Banking,BR Phikkal,INACTIVE,70
NP0010010,Individual Male,Mobile Banking,BR Phikkal,ACTIVE,589
NP0010010,Individual Male,Mobile Banking,BR Phikkal,INACTIVE,124
NP0010010,Individual Other,Mobile Banking,BR Phikkal,ACTIVE,520
NP0010010,Individual Other,Mobile Banking,BR Phikkal,INACTIVE,86
NP0010010,Individual Other,Mobile Banking,BR Phikkal,ACTIVE,537
NP0010010,Individual Other,Mobile Banking,BR Phikkal,INACTIVE,581
NP0010011,Individual Female,Mobile Banking,BR Mangalbare,ACTIVE,483
NP0010011,Individual Female,Mobile Banking,BR Mangalbare,INACTIVE,77
NP0010011,Individual Male,Mobile Banking,BR Mangalbare,ACTIVE,861
NP0010011,Individual Male,Mobile Banking,BR Mangalbare,INACTIVE,169
NP0010011,Individual Other,Mobile Banking,BR Mangalbare,ACTIVE,489
NP0010011,Individual Other,Mobile Banking,BR Mangalbare,INACTIVE,146
NP0010011,Individual Other,Mobile Banking,BR Mangalbare,ACTIVE,438
NP0010011,Individual Other,Mobile Banking,BR Mangalbare,INACTIVE,465
NP0010012,Individual Female,Mobile Banking,BR Phidim,ACTIVE,151
NP0010012,Individual Female,Mobile Banking,BR Phidim,INACTIVE,25
NP0010012,Individual Male,Mobile Banking,BR Phidim,ACTIVE,314
NP0010012,Individual Male,Mobile Banking,BR Phidim,INACTIVE,76
NP0010012,Individual Other,Mobile Banking,BR Phidim,ACTIVE,187
NP0010012,Individual Other,Mobile Banking,BR Phidim,INACTIVE,36
NP0010012,Individual Other,Mobile Banking,BR Phidim,ACTIVE,187
NP0010012,Individual Other,Mobile Banking,BR Phidim,INACTIVE,514
NP0010013,Individual Female,Mobile Banking,BR Taplejung,ACTIVE,59
NP0010013,Individual Female,Mobile Banking,BR Taplejung,INACTIVE,11
NP0010013,Individual Male,Mobile Banking,BR Taplejung,ACTIVE,114
NP0010013,Individual Male,Mobile Banking,BR Taplejung,INACTIVE,31
NP0010013,Individual Other,Mobile Banking,BR Taplejung,ACTIVE,71
NP0010013,Individual Other,Mobile Banking,BR Taplejung,INACTIVE,28
NP0010013,Individual Other,Mobile Banking,BR Taplejung,ACTIVE,57
NP0010013,Individual Other,Mobile Banking,BR Taplejung,INACTIVE,163
NP0010014,Individual Female,Mobile Banking,BR Rangeli,ACTIVE,104
NP0010014,Individual Female,Mobile Banking,BR Rangeli,INACTIVE,30
NP0010014,Individual Male,Mobile Banking,BR Rangeli,ACTIVE,242
NP0010014,Individual Male,Mobile Banking,BR Rangeli,INACTIVE,83
NP0010014,Individual Other,Mobile Banking,BR Rangeli,ACTIVE,132
NP0010014,Individual Other,Mobile Banking,BR Rangeli,INACTIVE,97
NP0010014,Individual Other,Mobile Banking,BR Rangeli,ACTIVE,145
NP0010014,Individual Other,Mobile Banking,BR Rangeli,INACTIVE,553
NP0010015,Individual Female,Mobile Banking,BR Biratchowk,ACTIVE,252
NP0010015,Individual Female,Mobile Banking,BR Biratchowk,INACTIVE,63
NP0010015,Individual Male,Mobile Banking,BR Biratchowk,ACTIVE,339
NP0010015,Individual Male,Mobile Banking,BR Biratchowk,INACTIVE,113
NP0010015,Individual Other,Mobile Banking,BR Biratchowk,ACTIVE,331
